Date,Plant_Area,Equipment_Name,Energy_Type,Consumption,Unit,Shift,Remarks
2025-01-25,FCCU,Reactor,Steam,210.47,Ton,General,Avarage value from Normalcondtion
2025-02-05,FCCU,Slurry Pump,Power,159.15,kWh,C Shift,Startup phase
2025-03-21,FCCU,Air Blower,Power,4088.27,kWh,A Shift,Avarage value from Normalcondtion
2025-03-14,FCCU,Main Fractionator,Steam,124.28,Ton,B Shift,Reading taken manually
2025-04-19,FCCU,Regenerator,Steam,355.75,Ton,A Shift,Avarage value from Normalcondtion
2025-04-30,FCCU,Regenerator,Steam,338.62,Ton,A Shift,Avarage value from Normalcondtion
2025-04-24,FCCU,Main Fractionator,Steam,93.73,Tons,General,Avarage value from Normalcondtion
2025-01-04,FCCU,Main Fractionator,Steam,111.51,Ton,C Shift,Avarage value from Normalcondtion
2025-04-02,FCCU,Wet Gas Compressor,Power,4232.05,kWh,A Shift,Avarage value from Normalcondtion
2025-06-28,FCCU,Wet Gas Compressor,Power,4071.85,kWh,C Shift,Normal operation
2025-03-31,FCCU,Flue Gas Cooler,Power,1086.55,kWh,B Shift,Sensor calibration pending
2025-05-19,FCCU,Slurry Pump,Electricity,162.57,kWh,A Shift,Reading taken manually
2025-01-08,FCCU,Co Boiler,Fuel Gas,428.14,Sm3,B Shift,Avarage value from Normalcondtion
2025-06-17,FCCU,Reactor,Steam,203.74,Ton,B Shift,Reading taken manually
2025-12-01,FCCU,Co Boiler,Fuel Gas,426.14,Sm3,General,Sensor calibration pending
2025-05-30,FCCU,Wet Gas Compressor,Power,4480.16,kWh,B Shift,Avarage value from Normalcondtion
2025-04-19,FCCU,Wet Gas Compressor,Power,4426.95,kWh,B Shift,Avarage value from Normalcondtion
2025-01-26,FCCU,Main Fractionator,Steam,99.48,Tons,B Shift,Avarage value from Normalcondtion
2025-04-02,FCCU,Co Boiler,Fuel Gas,458.6,Scm,B Shift,Avarage value from Normalcondtion
2025-05-26,FCCU,Main Fractionator,Steam,124.26,Ton,C Shift,Avarage value from Normalcondtion
2025-03-24,FCCU,Regenerator,Steam,355.39,Ton,A Shift,Reading taken manually
2025-05-21,FCCU,Slurry Pump,Electricity,152.07,kWh,C Shift,Unit under maintenance
2025-04-21,FCCU,Slurry Pump,Power,214.84,kWh,A Shift,Minor fluctuation observed
2025-01-10,FCCU,Co Boiler,Fuel Gas,470.47,Scm,C Shift,Unit under maintenance
2025-06-12,FCCU,Co Boiler,Fuel Gas,414.24,Scm,C Shift,Avarage value from Normalcondtion
2025-05-26,FCCU,Wet Gas Compressor,Power,4468.74,kWh,C Shift,Reading taken manually
2025-12-02,FCCU,Wet Gas Compressor,Power,4494.31,kWh,C Shift,Sensor calibration pending
2025-01-20,FCCU,Flue Gas Cooler,Power,1069.6,kWh,C Shift,Normal operation
2025-04-25,FCCU,Co Boiler,Fuel Gas,403.06,Scm,C Shift,Avarage value from Normalcondtion
2025-04-13,FCCU,Feed Preheater,Fuel Gas,290.1,Scm,A Shift,Unit under maintenance
2025-01-22,FCCU,Regenerator,Steam,330.33,Ton,C Shift,Avarage value from Normalcondtion
2025-02-21,FCCU,Feed Preheater,Fuel Gas,294.82,Scm,C Shift,  
2025-06-29,FCCU,Flue Gas Cooler,Power,983.98,kWh,C Shift,Normal operation
2025-03-03,FCCU,Air Blower,Electricity,4106.99,kWh,A Shift,Avarage value from Normalcondtion
2025-01-13,FCCU,Air Blower,Electricity,3817.55,kWh,B Shift,Minor fluctuation observed
2025-05-03,FCCU,Main Fractionator,Steam,109.35,Ton,C Shift,Avarage value from Normalcondtion
2025-04-27,FCCU,Reactor,Steam,184.54,Tons,B Shift,Sensor calibration pending
2025-02-07,FCCU,Feed Preheater,Fuel Gas,292.17,Scm,B Shift,Startup phase
2025-01-12,FCCU,Main Fractionator,Steam,126.05,Ton,A Shift,Normal operation
2025-03-05,FCCU,Wet Gas Compressor,Power,4556.26,kWh,C Shift,Startup phase
2025-03-23,FCCU,Reactor,Steam,198.99,Ton,General,Avarage value from Normalcondtion
2025-02-09,FCCU,Air Blower,Electricity,3578.76,kWh,B Shift,  
2025-06-27,FCCU,Reactor,Steam,210.76,Tons,B Shift,Avarage value from Normalcondtion
2025-02-28,FCCU,Slurry Pump,Power,172.35,kWh,C Shift,Avarage value from Normalcondtion
2025-09-05,FCCU,Reactor,Steam,210.85,Ton,A Shift,Unit under maintenance
2025-06-04,FCCU,Flue Gas Cooler,Power,1073.56,kWh,B Shift,Minor fluctuation observed
2025-02-26,FCCU,Feed Preheater,Fuel Gas,275.07,Scm,A Shift,Avarage value from Normalcondtion
2025-01-18,FCCU,Regenerator,Steam,357.98,Ton,B Shift,Avarage value from Normalcondtion
2025-01-28,FCCU,Flue Gas Cooler,Power,976.11,kWh,A Shift,Avarage value from Normalcondtion
2025-04-03,FCCU,Regenerator,Steam,341.5,Tons,C Shift,Avarage value from Normalcondtion
2025-11-02,FCCU,Wet Gas Compressor,Electricity,4543.92,kWh,General,Avarage value from Normalcondtion
2025-01-02,FCCU,Wet Gas Compressor,Electricity,4099.59,kWh,B Shift,  
2025-02-23,FCCU,Reactor,Steam,188.88,Ton,General,Minor fluctuation observed
2025-03-10,FCCU,Flue Gas Cooler,Power,955.99,kWh,C Shift,Sensor calibration pending
2025-01-08,FCCU,Feed Preheater,Fuel Gas,265.51,Sm3,B Shift,Normal operation
2025-03-17,FCCU,Regenerator,Steam,348.34,Ton,A Shift,Avarage value from Normalcondtion
2025-01-04,FCCU,Feed Preheater,Fuel Gas,269.13,Scm,C Shift,Startup phase
2025-02-27,FCCU,Co Boiler,Fuel Gas,444.67,Scm,General,Startup phase
