Date,Plant_Area,Equipment_Name,Energy_Type,Consumption,Unit,Shift,Remarks
25/01/2025,FCCU,Reactor,steam,210.47,ton,General,
2025-02-05,FCCU, Slurry Pump  ,power,159.15,KWH,C-Shift,Startup phase
21/03/2025,FCCU,Air Blower,Power,4088.27,kWh,A,
14-03-2025,FCCU,Main Fractionator,Steam ,124.28,T,b shift,Reading taken manually
2025-04-19,FCCU,regenerator,steam,355.75,ton,A,
04/30/2025,FCCU,regenerator,Steam,338.62,Ton,A Shift,
04/24/2025,FCCU,MAIN FRACTIONATOR,STEAM,93.73,Tons,General,
2025-01-04,FCCU,Main Fractionator,Steam,111.51,Ton,C,
2025-04-02,FCCU,Wet Gas Compressor,Power ,4232.05,kwh,A,
2025-06-28,FCCU,Wet Gas Compressor,Power ,4071.85,kwh,C-Shift,Normal operation
31/03/2025,FCCU,Flue Gas Cooler,power,1086.55,KWH,b shift,Sensor calibration pending
05/19/2025,FCCU,SLURRY PUMP,Electricity,162.57,kWh,A,Reading taken manually
01/08/2025,FCCU,CO Boiler,Fuel Gas ,428.14,Sm3,B,
17-06-2025,FCCU,reactor,steam,203.74,ton,b shift,Reading taken manually
12-01-2025,FCCU,CO BOILER,Fuel Gas ,426.14,Sm3,General,Sensor calibration pending
30/05/2025,FCCU,Wet Gas Compressor,Power,4480.16,kWh,b shift,
2025-04-19,FCCU,Wet Gas Compressor,Power ,4426.95,kwh,B,
26/01/2025,FCCU,Main Fractionator,STEAM,99.48,Tons,b shift,
04-02-2025,FCCU,CO Boiler,fuel gas,458.6,scm,B,
26/05/2025,FCCU,Main Fractionator,Steam ,124.26,T,C,N/A
03/24/2025,FCCU,Regenerator,Steam,355.39,Ton,A,Reading taken manually
21/05/2025,FCCU,Slurry Pump,Electricity,152.07,kWh,C,Unit under maintenance
21/04/2025,FCCU,Slurry Pump,Power,,kWh,A Shift,Minor fluctuation observed
2025-01-10,FCCU,CO Boiler,FuelGas,470.47,SCM,C-Shift,Unit under maintenance
06/12/2025,FCCU,CO Boiler,FuelGas,414.24,SCM,C-Shift,
05/26/2025,FCCU,Wet Gas Compressor,Power,4468.74,kWh,C-Shift,Reading taken manually
12-02-2025,FCCU,Wet Gas Compressor,Power,4494.31,kWh,C-Shift,Sensor calibration pending
2025-01-20,FCCU,flue gas cooler,power,1069.6,KWH,C-Shift,Normal operation
04/25/2025,FCCU,CO Boiler,FuelGas,403.06,SCM,C-Shift,
2025-04-13,FCCU,Feed Preheater,Fuel Gas,290.1,SCM,A Shift,Unit under maintenance
22/01/2025,FCCU,regenerator,Steam ,330.33,T,C,
21/02/2025,FCCU,Feed Preheater,fuel gas,294.82,scm,C-Shift,  
29-06-2025,FCCU,FLUE GAS COOLER,power,983.98,KWH,C,Normal operation
03-03-2025,FCCU,AIR BLOWER,Electricity,4106.99,kWh,A Shift,
01/13/2025,FCCU,Air Blower,Electricity,3817.55,kWh,b shift,Minor fluctuation observed
05-03-2025,FCCU,Main Fractionator,Steam,109.35,Ton,C-Shift,
04/27/2025,FCCU,Reactor,STEAM,184.54,Tons,B,Sensor calibration pending
02/07/2025,FCCU,Feed Preheater,fuel gas,292.17,scm,B,Startup phase
01/12/2025,FCCU,Main Fractionator,Steam ,126.05,T,A Shift,Normal operation
03/05/2025,FCCU,Wet Gas Compressor,Power ,4556.26,kwh,C-Shift,Startup phase
03/23/2025,FCCU,Reactor,Steam ,198.99,T,General,
2025-02-09,FCCU,Air Blower,Electricity,3578.76,kWh,b shift,  
2025-06-27,FCCU,Reactor,STEAM,210.76,Tons,b shift,
